Opened,Open,High,Low,Close,Volume
2021-09-27 06:20:00,58.308,58.490,58.288,58.335,22220.3
2021-09-27 06:25:00,58.344,58.485,58.217,58.477,25953.9
2021-09-27 06:30:00,58.477,58.478,58.192,58.275,33745.5
2021-09-27 06:35:00,58.273,58.740,58.233,58.714,33445.4
2021-09-27 06:40:00,58.706,58.923,58.497,58.508,40197.1
2021-09-27 06:45:00,58.504,58.676,58.400,58.603,24551.3
2021-09-27 06:50:00,58.603,58.637,58.247,58.325,34356.9
2021-09-27 06:55:00,58.321,58.346,57.653,57.689,73352.7
2021-09-27 07:00:00,57.690,58.291,57.611,58.158,50366.0
2021-09-27 07:05:00,58.160,58.169,57.784,57.890,33640.7
2021-09-27 07:10:00,57.896,57.946,57.500,57.902,36697.6
2021-09-27 07:15:00,57.903,58.121,57.558,57.839,32243.6
2021-09-27 07:20:00,57.839,58.265,57.650,58.251,28189.6
2021-09-27 07:25:00,58.251,58.392,58.131,58.281,29692.9
2021-09-27 07:30:00,58.281,58.569,58.281,58.435,26862.3
2021-09-27 07:35:00,58.442,58.487,58.208,58.267,23448.6
2021-09-27 07:40:00,58.272,58.483,58.232,58.445,16356.3
2021-09-27 07:45:00,58.449,58.470,58.204,58.320,20772.8
2021-09-27 07:50:00,58.318,58.351,58.070,58.106,24455.1
2021-09-27 07:55:00,58.102,58.414,58.091,58.140,16718.8
2021-09-27 08:00:00,58.132,58.484,57.979,58.354,41387.4
2021-09-27 08:05:00,58.355,58.665,58.354,58.430,29059.7
2021-09-27 08:10:00,58.428,58.483,58.267,58.434,18856.0
2021-09-27 08:15:00,58.423,58.513,58.294,58.431,14132.4
2021-09-27 08:20:00,58.435,58.572,58.332,58.572,15080.4
2021-09-27 08:25:00,58.574,58.668,58.389,58.446,25238.1
2021-09-27 08:30:00,58.441,58.713,58.342,58.636,22015.4
2021-09-27 08:35:00,58.627,58.629,58.443,58.529,12389.5
2021-09-27 08:40:00,58.526,58.550,58.162,58.173,20588.8
2021-09-27 08:45:00,58.173,58.324,58.150,58.201,30360.5
2021-09-27 08:50:00,58.201,58.294,58.074,58.201,16846.8
2021-09-27 08:55:00,58.201,58.345,58.144,58.327,22223.4
2021-09-27 09:00:00,58.326,58.780,58.220,58.732,34290.0
2021-09-27 09:05:00,58.741,58.946,58.550,58.618,56771.8
2021-09-27 09:10:00,58.611,59.100,58.513,58.947,62725.7
2021-09-27 09:15:00,58.956,59.924,58.829,59.850,126039.0
2021-09-27 09:20:00,59.851,62.400,59.752,61.896,560821.7
2021-09-27 09:25:00,61.900,61.958,61.010,61.710,285986.9
2021-09-27 09:30:00,61.708,61.716,60.675,60.732,174665.1
2021-09-27 09:35:00,60.732,60.942,59.635,60.356,221437.3
2021-09-27 09:40:00,60.356,61.400,60.343,60.686,219558.5
2021-09-27 09:45:00,60.690,60.826,60.392,60.415,99439.1
2021-09-27 09:50:00,60.429,61.221,60.194,60.592,150414.4
